@relation play_store_comments
@attribute ps_class {mauvais, neutre, bien}
@attribute text String
@data
bien, ' Très bien Il marche très bien lie plusieurs formats pas de souci avec mon wiko '
bien, ' Je n\' ai plus besoin d\' aller à la bibliothèque . J\' en ai une sur mon portable . Merci Ebook Reader ... '
bien, ' La class ! ! C une tres bne appli sur mn Pantech Adreno 9090 ... ça rivalise avc Adobe. . slmt q ça ne reconnait pa d\' autres types d fichiers apart les pdf , ds les dossiers. . mais sinon c la class . l\' affichage c more than adobe reader. . believe ! € '
neutre, ' Dodo Eebok reader n\' est pas petit d. Tres interessant , je vous le recommande . Que la paix soit avec vous . '
bien, ' E book reader Facile d utilisation , j apprécié beaucoup , néanmoins , il arrive que je ne maîtrise pas le d\' élément et que je retrouve plusieurs pages plus loin '
neutre, ' L \' appli me permet d\' ouvrir mes fichiers pdf sans pb . Mais il faut faire quelque chose pour les pubs intempestives ! '
mauvais, ' Ne lis pas les epub Ce format est pris en charge avec la version 2 mais l\' installation propose que la version 1.6 téléchargement effectué pour rien : -( '
bien, ' Pratique On retrouve tous nos documents dans une seule appli . C\' est très pratique . '
bien, ' Pat Très bien mais si possible rendre la manipulation plus rapide quand on à une recherche à faire d\' une page qu\' on veut lire rapidement , et la ça sera le top , sinon bravo quand même , c\' est le mieux que connais pour l\' instant , merci beaucoup pour votre travail '
bien, ' Parfait sauf Ce serait parfait si il n\' y avait pas les pub '
bien, ' Simple d\' utilisation . La présentation des livres sur les étagères est bluffante et pratique à l\' usage . Merci '
bien, ' Awesome ! ! ! I love the apparence , never had a problem while using it . It\'s a good app . '
bien, ' Parfait Cette application est vraiment parfaite . Je vous le recommande vivement . '
bien, ' Ce que je cherchais Fonctionne très bien un peu de pub mais pas trop gênant '
bien, ' Galaxie snote 8 Suite à la défaillance de Reader Hub j\' ai installé cette appli et récupérer sans problème mes documents et livres '
bien, ' Excellent Super sur galaxy S4 ! ! On a l\' impression de lire dans un livre réel '
mauvais, ' Doesn\'t support epub format App ok , but why epub , if there exist already pdf ? '
bien, ' Nickel Praticité et efficacité . Cette appli tire le maximum des possibilités du téléphone . '
bien, ' Magnifique Cette appli est exelente elle nous permet de telecharger plein de livres '
bien, ' Belle application . Dommage ces pages intempestives de pub , mais bon , il faut accepter ce compromis . Je recommande vivement cette appli . '
bien, ' Chargement rapide , fluide et sobre Les pages se chargent rapidement , on n attend pas devant des pages blanches comme avc d autres app . Pas de fioriture , c\' est clean , fluide . Je m\' en serts majoritairement pour de gros doc PDF et c\' est nickel . '
bien, ' Excellent Application satisfaisante , très pratique , un très bon affichage : ) je ne suis pas déçue . . '
bien, ' Exactement ce que je voulais Très bien pour lire confortablement un livre en pdf '
bien, ' Pas de quoi a ce pleindre Tt tes livres en pdf sont lisent '
neutre, ' On me demande de noter sans l\' avoir utilisé ... Je changerai ma note plus tard '
neutre, ' cool plutôt cool '
bien, ' Livre Parfait pour lire un livre on retrouve facilement sa page '
bien, ' Lecteur PDF simple Application satisfaisante , il est très rapide d\' ajouter les livres présents sur la carte sd . Merci à l\' équipe . '
bien, ' Très bonne application Avec un document PDF que j‘avais créé je n‘arrivais pas à l‘ouvrir avec my librairy lite et la pas de problème , je le recommande vivement '
bien, ' Bien très important pour voir ses livres dans une jolie bibliothèque ‚ mais les toiles d\' araignées doivent être nettoyées '
bien, ' Bonne application . Simple et efficace , j\' apprécie beaucoup l\' interface en forme de bibliothèque où chaque fichier est un livre . A recommander . '
bien, ' Fred Monreader+ est plus sophistiqué mais pour lire de pauvres pdf il faut payer ! ! ... Alors que ce reader est complet et gratuit ! Rapport qualité prix imbattable '
mauvais, ' Pas pratique du tout , impossible de trier correctement ces recherches , nous envoi dans le même rayon quelque soit le choix . A déconseiller , après mettre énerve pendant une heure j\' ai passé ma commande sur mon pc . '
mauvais, ' L application est bien faite , je mets 2 étoiles car c est facile de gonfler les prix et de mettre une réduction à côté pour arriver au prix normal , ( il n y a qu\' a regarder le prix des jouets avant réduction , pour s en rendre compte ) '
bien, ' Vraiment sympa ! : ) Très bonne application ! '
bien, ' J\' aime bien ! Pas mal ... '
bien, ' Application pratique Seul bémol , les notifications ne se mettent pas à jour de manière automatique ... Multiples doublons '
bien, ' Je recommande Tjr o top cdiscount '
neutre, ' Pas mal mais pas a la hauteur de ce que j\' attendais '
bien, ' Bonne application , merci maggle '
mauvais, ' Bien J\' aime . '
bien, ' Bonne application . '
bien, ' ???? c\' est une bonne application '
bien, ' bon appli mais un peu lente pour valider la commande et a du mal à supprimer les articles que l\' on ne veut plus . '
bien, ' J\' adore cette application . '
bien, ' Tres bonne apply '
mauvais, ' Impossible de payer '
bien, ' Indispensable . '
bien, ' J\' aime '
mauvais, ' Non compatible Comment ce fait il que le package du fichier soit incompatible ? Ics ? '
mauvais, ' Site escroc . A signaler a la DGCRF . Ne respecte pas ses propres conditions générales de vente . Bafoue le droit de rétractation . Le sav se moque du monde . Si vous retournez votre achat , il vous reviendra car personne pour le recevoir et pas de boite pour l\' avis de passage . Et le comble vous devrez repayer les frais de port pour le récupérer . '
mauvais, ' Le s. a. v est une jolie façon de se faire de l argent pour eux ... . on te fait répéter 15fois tes questions ... on te vole en fait ... sinon sans le s. a. v ça va ! '
mauvais, ' Boof Pas très interactif ! Et la réduction de 15 euros sur le rayon supermarché et inexistant même en téléchargement l\' application '
mauvais, ' beaucoup de chosrs à améliorer Impossible de régler un achat par paypal ! Site bordélique ! trop de pubs ! Pousse à utiliser la carte cdiscount ! Des options payantes de dernière minute au moment du règlement difficiles à éviter ! Peu de réactivité après l\' achat ( attente du mail de confirmation d\' achat ) des dépôts en relais inexistants voir douteux '
mauvais, ' Impossible de payer l\' application me renvoie à chaque fois au menu précédent quand je veut payer et en plus il me met 5 articles alors que j\' en est 1 seul '
mauvais, ' Je vois pas l\' intérêt d\' avoir accès a nos photos vidéos appel etc ... . . Même plus d\' intimité c pathétique '
mauvais, ' Aussi vite désinstallé qu \' installé. . On ne peut même pas imprimerou télécharger les factures depuis l\' appli ni depuis le site mobile , et impossible d\' aller sur le site normal avec un mobile ! Comment fait -on quand on a pas d\' ordinateur ? '
mauvais, ' C\' est une application d\' espionnage ... ... Cette appli demande l\' acces a l\' appareil photo , l\' historique , l\' identite du telephone , les autres applis installé , le micro , etc ... Vous voulez pas mesurer la longueur des poils de ma b**e non plus ? '
mauvais, ' HELLo Édit : appel passé au SC 3979 réponse 1m d\' attente , procédure de remboursement renouvelée + geste commercial 15€ bon achat cumulable . Merci enfin . ( [ [ Bon l\' App est correcte mais ça fais 3 mois que j\' attends mon remboursement de 29€ j\' ai déjà appelé une fois le S-C pour quelques € j\' ai l\' impression qu\' ils attendent qu\' on dépensent l\' équivalent dans la hotline avant de nous rembourser ... Au moins 10 rappels depuis mon compte en ligne ( gratuit ) et RiEN ! ] ] ) '
mauvais, ' Tres perfectible c discount c est bcp ameliore mais cette appli plante souvent de plus elle presente pas comme le site internet et malheureusement bcp de fiches techniques erronnees ou d un autre article dommage pour un vendeur de ce niveau a revoir au plus vite '
mauvais, ' Vraiment nul Je choisis mes articles impossible d\' aller jusqu\' au paiement sa beug pendant 1h n\' importe quoi nul comme appli le site Internet et vraiment mieux et encore ... je recommande pas '
bien, ' Bien . Tres bonne application . J\' ai commender dessus un iphone 5s 32GO or , et je l\' ai bien recu ! '
bien, ' Cdiscount Cette apli es a merveille je conseille d\' installer sur es sécuriser bon shopping a tous mer si au développeur '
mauvais, ' Nul personne s\' occupe de l\' application Cdiscount je voulais achetez galalaxy s5 noir a 450 euro tant pis pour vous je vais les donnez a quelqu\'un d\' autre ... ... '
mauvais, ' Incompétent J\' ai commandé une vitre pour protéger mon écran de téléphone et je ne l\' ai jamais reçu ! ! Je ne vous conseil pas se site . '
mauvais, ' Encore trop de bugs Appli qui rame ( défilement des pages ) , qui tourne parfois dans le vide et qui se ferme route seule . Mais le plus grave est que certains prix affichés sont faux ( ex . du wiko getaway black gold ) : quand vous cliquez sur l\' article ce n\' est plus le même prix ! Seul avantage par rapport à la version web , ce sont les promos flash , encore faut il arriver à valider la commande sans que ça beugue . Bref ampli intéressante mais y\'a encore du boulot ! '
mauvais, ' nul Fait beuguè mon tel et commander un lit reçu cassé et pas complet ! '
bien, ' Bien Mais encore quelques bugs d\' affichage '
neutre, ' Bonne appli assez pratique mais les temps de chargelent sont parfois bien trop long ce qui gache l\' utilisation de l\' appli et je ne pense pas que se soit du a ma connexion car je n\' ai pas ce genre de problèles avec les autres applications '
bien, ' Offre commercial intéressante via cette application . Pas mal d\' offre sympa via l\' application mobile , sinon pour le reste ça fonctionne ce qui est déjà très bien de nos jours : ) '
neutre, ' Pourquoi pas de mode paysage ? Allez soyons fou à quand une vraie version tablette ? '
mauvais, ' Bonne appli seul bemol des fois ca rame et impossible d acceder au contenu . Dommage '
neutre, ' Trop de bugs J\' aime cette application le seul problème c\' est que la plupart du temps les videos bug et je n\' arrive pas a les voir ou bien elles sont longues a charger mais dans ce cas c\' est vraiment vraiment vraiment super lent donc ça serait bien de régler ça sinon super app '
neutre, ' Video making bug Xperia M2 The video playback does not work ( except for the final render ) on the video editor . Also my viewers says the sound of my vines are pretty low . I\'m on a Xperia M2 '
bien, ' Mieu que mieu Difficile de faire mieu que cette app , devant snap mais derrière fb '
bien, ' C\' est trop cool J\' aime trop cette application ! ? '
neutre, ' Cool mais ... J\' aime beaucoup cette application , le seul problème est que quand je veux mettre une vidéo de ma galerie sa marche 1 fois sur 100 ! Donc vite corriger ce problème qui est très ennuyeux . '
neutre, ' Super mais lent L\' application marche a merveille mais les vidéos prennent du temps a chargée '
bien, ' Très Bonne application Mais comment incruster des musiques lors des Vines ? ? ? '
neutre, ' What ? ! What ? ! Je ne peux pas prendre des vidéo ... J\' ai un Samsung galaxy trend lite ... Help et les vidéos mettent 3 plombe pour charger ... '
mauvais, ' Maj vite ! ! J\' arrive pas a mettre une vidéo ( que j\' ai pourtant filmé avec vine ) en ligne ! ! ! '
bien, ' \' est énorme regardez catégorie humour Jerome jarre c\' est énorme ^^ '
mauvais, ' ine beug je me suis déconnecté afin de vérifier quelque chose et une fois que je veux me reconnecter il dise que l\' adresse ou le mots de passe est incorrect j\' ai recréé un compte avec la même adresse le même code et cela ne m\' informe même pas que l\' adresse est déjà utilisé j\' ai refait la même opération et sa a refait la même chose résultats j\' ai perdu mon compte et je ne peut n\' y utiliser mon adresse n\' y réinitialisé mon mot de passe vue qu\' il ne m\' envoi rien quand je clique sur réinitialisé '
neutre, ' Bug L\' application bug depuis la dernière mise à jour dommage impossible de voir d\' autre profils '
neutre, ' Pas mal A part le fait que les videos sont courtes . Je ne reçois pas mon code de confirmation par SMS aussi . '
bien, ' Cooooooool C\' est marrant de voir que les gens ont pas de chance '
bien, ' Vine Vous avez 5 sec . pour Délirer ... '
mauvais, ' annot upload videos from phone gallery ... '
mauvais, ' e sais pas cmt sa marche mais sa parait cool '
bien, ' ool '
neutre, ' a dernière mise à jour à mis l\' application nul '
bien, ' Génial J\' adore ce réseau social ! '
bien, ' It Was Good It was the best in the world mother fucker '
neutre, ' mise à jour depuis la nouvelle mise à jour c\' est vraiment nul '
neutre, ' onne appli mais Je sens que je vais désinstaller cette apllication depuis la mise à jour jarrive plus à me connecter sur mon propre compte '
bien, ' Darrrrrr Je vous le conseil '
bien, ' jouter un éditeur de son serait parfait '
mauvais, ' Galaxy s3 Ca bug trop ! '
mauvais, ' Je suis déçu Je n\' arrive pas à m\' inscrire '
bien, ' e top ! '
bien, ' xcellent je le conseil vivement '
mauvais, ' mpossible de créer un compte : -( '
bien, ' ieu que snap : ) '
bien, ' rop bien '
neutre, ' rop de bug en ce moment '
bien, ' J\' aime trop ! Cette appli est grave bien ! '
mauvais, ' Ohlala Pas mal de bugs en ce moment. . ?? '
neutre, ' Géniale mais Géniale mais gros bug , on ne peux plus chercher les gens ou alors on les trouve mais ça ne marche pas . '
bien, ' Bonne maj Depuis la mise à jour je n\' ai plus de problème , rien à dire ? '
neutre, ' Super mais ... Je n\' arrive pas à activer mon tel . J\' ai beau faire une demande de renvoi d\' sms , rien n\' y fait . Dommage pour les messages . Donc 3? . 5 si MAJ '
bien, ' Bof Je ne peut pas regarder de vidéo ça ne charge pas pareil pour les profits ! vous pourrez changé ça svp ? '
bien, ' Code de confirmation J\' ai mis mon numéro pour qu\' il m\' envoie un code de confirmation mais il ne m\' ont rien envoyer '
bien, ' Menu L appli est exellente mais n\' ayant pas de bouton menu sur le galaxy S5 je ne petit pas retirer les match en favoris c\' est pour ça l\' étoile en moins . Merci de remédier a ce petit problème . '
bien, ' Très bonne application J\' adore le foot et cette application me convient tout n\' est pas parfait . on arrive quand même à suivre à telecharge sans attendre '
bien, ' ppli parfaite ! Seul petit détail et pas des moindres je reçois aucune notification même en mettant les matchs en favori . Je suis sur lg g3 '
mauvais, ' Gros bug A chaque fois que je lance l\' aplication elle se ferme et affiche " resultat foot s\' est arreter '
bien, ' xcellente application ! Énorme choix de matchs à travers le monde et pas de décalages notables avec le direct ! : - ) '
bien, ' Cool Cool et gant je dit cool c et coul '
bien, ' rès bien mais le problème c\' est que les alertes buts sont très décalées par rapport à Flash Résultat '
bien, ' Tres bien J ai essayer toute les application et la meilleur et celle ci en plus on peut choisir c equipe prefere et voir tout de suite ces resultats . Je la conseille cette aplis . '
bien, ' \' aime bien cette appli seul bémol y\'a pas le mode paysage surtout pour les tablette dommage ! ! ! ? '
bien, ' Trop cool J\' aimerais pouvoir voir le classement des meilleurs buteurs sinon la qualité pour suivre le match est vraiment parfaite '
neutre, ' Il y a un manque ... Possesseur d \' un S5 , il n y a pas la touche pour acceder au menu de l " appli et par consequent impossible d aller directement sur les classements ... dommage ! '
neutre, ' Bonne appli Manque un peu de fonctionnalité , de diversité et de fluidité dans l\' interface mais à part ça très bonne appli qui fait bien son taff avec de bons détails sur les matchs de bonnes infos et un bon suivis en direct avec de bonnes alertes etc ! ! une appli simple et pratique d\' utilisation . '
bien, ' Bien J\' adore cette appli je m\' en sers tout le temps . '
bien, ' res bien je mes 5 etoiles mais attention au bug pour la mise a jour '
bien, ' Magnifique Je n ai pas trouver de mieux sur les résultat avec une précision . '
bien, ' Ses trop kifan ! ! : - ) Jador mai ses inpeu en retard les but can je regarde en meme tan a la télé mai j\' aime bien + et infiniter '
bien, ' Bien Cette appli me sert beaucoup j\' aime bien tout les matin je peu voir les résultat des match de la veille '
bien, ' res à l\' aise avc 7 aplk . La connection est facile et les matchs sont du 100 % directs '
bien, ' sympathique je trouve le site assez bien : ) le petit bémol c\' est qu\' il y a un décalage avec les action . '
bien, ' e met une note de 5 appli parfaite dommage que avec les galaxy note 4 je n ai plus aces au classements '
bien, ' Une appli d\' enfer Elle est trop cool en plus je peux avoir des résultat de match que je ne peux pas regarder '
bien, ' Exellent Alerte but exetera tout est bien en plus les photos c\' est Paris contre le Barça et voilà tout est bien il manque juste regarder le match ! ! ! ! '
bien, ' parfait je n\' ai ni bein sports ni canal + . j\' adore le foot et cette apli me permet de suivre mes equipe . A TÉLÉCHARGE '
bien, ' Fan de foooot Suppper ! Alors avec cette aplis je rate aucun match : ) ! ! ! ! . . Dommage qu\' il n\' y a pas de commentaire pour les match féminin '
bien, ' rès bonne apli . Merci . Vive le foot(sans haine ) . '
bien, ' Bugg Gro bugg laplis se bloc sa arret . mise a jour urgente '
bien, ' Une chose importente Apps est tres bonne sans defaut mais les publicités minimisent la fonctionalité a accés au match se qui reduit la qualité de l\' application et merci au developeurs '
bien, ' Trop cool Super appli , elle me permet de suivre en temps réels mes equipes et mes championnats favoris '
mauvais, ' Oui. . mais J\' aurais(j\'eusse ) aimé avoir le nom des buteurs dans les divisions inférieures . Sinon , très bonne appli si l\' on excepte toutes les fautes de français tant dans les avis que dans les commentaires . '
bien, ' rop bonne application pour les resultats des matchs , et surtout sur les informations des buts , des cotes etc ... . '
bien, ' \' est dommage que les compositions d\' équipes ne soit pas détaillés à plat sur un terrain sinon très bonne appli ! '
bien, ' Super Appli 4 étoile , vous aurez la 5eme en rajoutant le classement de buteurs ! C très important '
mauvais, ' De pire en pire ... Bug de plus en plus important ... pubs chiantes ... probleme d horaires ... si c est pour faire de la merde arretez les maj et remettez les precedentes versions , ou faites un autre job les gars '
bien, ' Impec ! ! ! Il faudrait pouvoir régler le son des alertes car ma femme fait des bons toutes les 2 min . ; - ) et pouvoir choisir les côtes des différents " bookmakers " '
mauvais, ' Commentaire:1 étoile car demande un peu trop d\' autorisations , certaines étant inutiles ( infos appels ? ? ? ) '
bien, ' Super Elle est bien pour voir les résultats mais les descriptions ne sont pas très clair '
bien, ' Cool cool Ces super souvent je regard le match au travail même si ya pas télévision '
neutre, ' BUG Désinstalle , réinstalle , Désinstalle , réinstalle ... et toujours des bugs , quel dommage car cette ampli est super sinon ... '
bien, ' xcellent tout est dans le titre seul bémol le réglage des notifications qu\' on ne peu pas changer . '
bien, ' Cool Cool '
neutre, ' Probleme Bonjour je fais parti de l\' équipe de choc EDC , nous sommes au niveau 7 pour notre clan et les points de banque que l\' on aurait dû gagner n\' apparaisse pas du tout . Pourquoi ? Et comment justement gagne t\' on les xp de clans ? Nous ne savons pas du tout rien n\' est expliquer . J\' attend votre reponse . '
bien, ' Quelques bugs mais magnifique L\' application est parfaite mais si il y avait plus de couleurs pour les emblèmes et qu\' on pouvait modifier ses classes cela aurai été encore mieux ! ! ; ) '
bien, ' Sa c bon Trop énorme ! Pour information je recherche un clan sur ps4 je suis majeur et fini 2 fois le jeu en mode , commando et vétéran '
neutre, ' Assez bien Je ne peut pas faire d\' enblème , ne sert pas a grand chose mais bien quand même . Télécharger le et juger de vous même '
bien, ' Prestige ancien call of Les prestiges des précédents call of ne s\' affichent pas pour tout le monde sur le profil , petit détail mais bon , si c\' est là , autant que ça fonctionne . '
neutre, ' Beug depuis hier Depuis que j\' ai fait un emblème via mon smartphone ( samsung galaxy s 3 ) l\' appli ne veut plus s\' ouvrir . . . '
mauvais, ' Nul On peut tester tout les mots de passe il vont dire que ce n est pas bon '
bien, ' Pas mal mais l\' opérateur n\' est pas du tout le bon , j\' ai un full skin zombie et sur l\' application ça me met un black naked '
bien, ' Pas mal Bonne application que je conseille pour les joueurs de cod advanced warfare ; - ) '
bien, ' On recrute QUEBEC REAPER : ) c est sa le clans Le nom avec le sourire '
mauvais, ' Marche pas : ( Il me reconnait pas mon compte et quand j en créé un nouveau sa se connecte pas ? '
neutre, ' Problème emblème et historique On ne peut pas besoin mettre le même emblème que la team . On ne voit pas non plus son historique des différents call of . Sinon correct comme appli ça rappel black ops sans changement . '
