@relation play_store_comments
@attribute ps_class {mauvais, neutre, bien}
@attribute text String
@data
mauvais, 'impossible inscrire commentaire avoir âne appeler inscrire nom répondre nom exister suivre|être unique '
mauvais, 'commentaire avoir tout pratique pouvoir effectuer recherche présentation être '
neutre, 'faire chose commentaire dire être valable pari trouver dingue avoir permettre parier ligne avoir minimum @ord@ aller faire rêver '
mauvais, 'avoir revoir tout ergonomique impossible parier application '
neutre, 'faire principal parier '
mauvais, 'commentaire pari mobile '
mauvais, 'commentaire zéro '
mauvais, 'commentaire nul '
bien, 'commentaire '
bien, 'commentaire clic avoir parier live clic live falloir cliquer pub parer falloir cocher autoriser installation source inconnu sympa live manquer être top '
mauvais, 'instable application instable ram faire chauffer processeur rester aller consulter Internet mobile '
mauvais, 'nul pouvoir parier utilité '
mauvais, 'pourrir mourir commentaire beau pub virée '
mauvais, 'servir avoir rien commentaire être avoir hauteur marque côte être introuvable parcours être rapide ya avoir voir avoir faire moche beau gars '
mauvais, 'servir commentaire impossible parier voir côte connecter faire '
bien, 'super installation avoir acheter suivre|être décevoir '
bien, 'avoir autre application reader avoir besoin merci outil merveilleux '
bien, 'bon application amélioration pouvoir être apporter niveau ergonomie '
mauvais, 'confus intuitif ras bol rate poubelle '
mauvais, 'pub trouver autre reader être foi|fois '
bien, 'commentaire plaisir pouvoir lire roman annoter commenter propre ouvrage être gène pub grand merci '
bien, 'commentaire être cool savoir pouvoir mot '
bien, 'bon application être pouvoir conseiller être essai autre être meilleur '
bien, 'marcher lie format souci '
bien, 'avoir besoin aller bibliothèque avoir portable commentaire merci '
bien, 'class commentaire rivaliser reconnaître autre type fichier class affichage more adobe '
neutre, 'dodo reader être petit recommander paix '
bien, 'reader facile utilisation apprécier arriver maîtriser élément retrouver page '
neutre, 'commentaire permettre ouvrir fichier falloir faire chose pub intempestif '
mauvais, 'lire format être prendre charge version installation proposer version effectuer rien '
bien, 'pratique retrouver document seul être pratique '
bien, 'pat possible rendre manipulation rapide recherche faire page vouloir lire être top être connaître instant merci travail '
bien, 'parfait être parfait avoir pub '
bien, 'commentaire simple utilisation présentation livre étagère être pratique usage merci '
bien, 'commentaire lover apparence avoir avoir '
bien, 'parfait application être parfaire recommander '
bien, 'chercher fonctionner pub gêner '
bien, 'galaxie commentaire suite défaillance avoir installer récupérer problème document livre '
bien, 'excellent commentaire super avoir impression lire livre réel '
mauvais, 'support format but if '
bien, 'nickel efficacité tirer maximum possibilité téléphone '
bien, 'magnifique être permettre plein livre '
bien, 'commentaire beau application dommage page intempestif pub bon falloir accepter compromis recommander '
bien, 'chargement rapide fluide sobre page charger attendre page blanc autre fioriture être clean fluide sert gros doc être nickel '
bien, 'excellent application satisfaisant pratique bon affichage suivre|être décevoir '
bien, 'vouloir lire livre '
bien, 'avoir livre être lire|liser '
neutre, 'commentaire demander noter avoir utiliser changer note '
neutre, 'cool cool '
bien, 'livre parfait lire livre retrouver page '
bien, 'lecteur simple application satisfaisant être rapide ajouter livre présent carte merci équipe '
bien, 'bon application document créer liter pas problème recommander '
bien, 'commentaire important voir livre joli bibliothèque toile araignée devoir être nettoyer '
bien, 'commentaire bon application simple efficace apprécier interface forme bibliothèque fichier être livre recommander '
bien, 'être sophistiquer lire pauvre falloir payer|payer reader être complet gratuit rapport qualité prix imbattable '
mauvais, 'commentaire pratique tout impossible trier recherche envoi même rayon choix déconseiller mettre énerver heure avoir passer commande '
mauvais, 'commentaire application être faire mettre étoile être facile gonfler prix mettre réduction côté arriver prix normal avoir avoir regarder prix jouet réduction rendre compte '
bien, 'sympa bon application '
bien, 'commentaire aimer '
bien, 'application pratique seul bémol notification mettre jour manière automatique doubler '
bien, 'recommander top '
neutre, 'commentaire avoir hauteur attendre '
bien, 'commentaire bon application merci '
mauvais, 'aimer '
bien, 'commentaire bon application '
bien, 'commentaire être bon application '
bien, 'commentaire bon lent valider commande avoir mal supprimer article vouloir '
bien, 'commentaire adorer application '
bien, 'commentaire bon '
mauvais, 'commentaire impossible payer|payer '
bien, 'commentaire indispensable '
bien, 'commentaire '
mauvais, 'compatible faire package fichier être incompatible '
mauvais, 'site escroc signaler avoir commentaire respecter propre condition général vente bafouer droit rétractation moquer monde retourner achat revenir recevoir boite avis passage comble devoir repayer|repayer frai|frais port récupérer '
mauvais, 'commentaire être joli façon faire argent faire répéter question voler fait aller '
mauvais, 'interactif réduction euro rayon supermarché inexistant application '
mauvais, 'améliorer impossible régler achat site bordélique pub pousse utiliser carte option payant dernier minute moment règlement difficile éviter réactivité achat attente mail confirmation achat dépôt relais inexistant voir douteux '
mauvais, 'commentaire impossible payer|payer application renvoyer foi|fois menu précédent vouloir payer|payer mettre article être seul '
mauvais, 'commentaire voir intérêt avoir accès avoir photo vidéo appel intimité pathétique '
mauvais, 'commentaire pouvoir facture site mobile impossible aller site normal mobile faire avoir ordinateur '
mauvais, 'être application espionnage demander avoir appareil photo historique autre installer micro vouloir mesurer longueur poil '
mauvais, 'édit appel passer réponse attente procédure remboursement renouveler geste commercial bon achat cumulable merci être correct faire moi|mois attendre remboursement avoir appeler foi|fois avoir impression attendre dépenser équivalent rembourser rappel compte ligne gratuit '
mauvais, 'perfectible discount être planter site fiche technique autre article dommage vendeur niveau avoir revoir '
mauvais, 'nul choisir article impossible aller paiement importer nul site Internet recommander '
bien, 'commentaire bon application avoir or avoir '
bien, 'être avoir merveille conseiller installer être sécuriser bon shopping avoir mer '
mauvais, 'nul occuper application vouloir acheter noir avoir aller donner avoir autre '
mauvais, 'incompétent avoir commander vitre protéger écran téléphone avoir recevoir conseil site '
mauvais, 'ramer défilement page tourner vide fermer route seul grave être prix afficher être faux gold cliquer article être même prix seul avantage rapport version être promo flash falloir arriver valider commande bref ampli intéressant boulot '
mauvais, 'nul faire tel commander lit recevoir cassé complet '
bien, 'affichage '
neutre, 'commentaire bon pratique temps être utilisation penser être avoir connexion avoir genre autre application '
bien, 'offre commercial intéressant application commentaire offre sympa application mobile rester fonctionner être jour '
neutre, 'mode paysage commentaire aller être fou vrai version tablette '
mauvais, 'commentaire bon seul foi|fois rame impossible contenu dommage '
neutre, 'aimer application seul problème être plupart temps arriver avoir voir être longue avoir charger cas être super lent être régler super '
neutre, 'for final viner are avoir '
bien, 'difficile faire '
bien, 'être cool aimer application '
neutre, 'cool aimer application seul problème être vouloir mettre vidéo galerie marche foi|fois corriger problème être ennuyeux '
neutre, 'super lent application marche avoir merveille vidéo prendre temps avoir charger '
bien, 'application incruster musique '
neutre, 'commentaire pouvoir prendre vidéo avoir liter vidéo mettre plombe charger '
mauvais, 'vite commentaire arriver avoir mettre vidéo avoir filmer viner ligne '
bien, 'commentaire être énorme regarder catégorie humour jarre être énorme '
mauvais, 'commentaire suivre|être déconnecter vérifier chose foi|fois vouloir dire adresse mot passe être incorrect avoir recréer compte même adresse même code informer adresse être utiliser avoir refaire même opération avoir refaire même chose résultat avoir perdre compte pouvoir utiliser adresse mot passe voir envoi cliquer '
neutre, 'application dernier mise jour dommage impossible voir autre profil '
neutre, 'part fait être court recevoir code confirmation '
bien, 'être marrant voir gens avoir chance '
bien, 'viner avoir sec '
mauvais, 'commentaire phone '
mauvais, 'commentaire savoir marche parer cool '
bien, 'commentaire '
neutre, 'commentaire avoir dernier mise jour mi application nul '
bien, 'génial adorer réseau social '
bien, 'in '
neutre, 'mettre jour nouveau mise jour être nul '
neutre, 'commentaire sentir aller mise jour connecter propre compte '
bien, 'conseil '
bien, 'commentaire jouter éditeur son être parfaire '
mauvais, ''
mauvais, 'suivre|être décevoir arriver inscrire '
bien, 'commentaire top '
bien, 'commentaire conseil '
mauvais, 'commentaire créer compte '
bien, 'commentaire '
bien, 'commentaire '
neutre, 'commentaire moment '
bien, 'aimer commentaire être grave '
mauvais, ''
neutre, 'génial génial gros pouvoir chercher gens trouver marcher '
bien, 'bon mise jour avoir problème rien dire '
neutre, 'super arriver activer tel avoir beau faire demande renvoi faire dommage message '
bien, 'pouvoir regarder vidéo charger pareil profit pouvoir changer '
bien, 'code confirmation avoir mettre numéro envoyer code confirmation avoir envoyer '
bien, 'menu être avoir bouton menu petit retirer match favori être étoiler merci remédier avoir petit problème '
bien, 'bon application adorer foot application convenir|convier être parfait arriver suivre attendre '
bien, 'commentaire parfaire seul petit détail moindre recevoir notification même mettre match favori suivre|être '
mauvais, 'gros foi|fois lancer fermer affiche foot être '
bien, 'commentaire application énorme choix match travers monde décalage notable direct '
bien, 'cool cool gant dire cool '
bien, 'commentaire problème être alerte but être décaler rapport '
bien, 'avoir essayer|essayer application meilleur pouvoir choisir voir suite conseiller '
bien, 'commentaire aimer seul bémol mode paysage tablette dommage '
bien, 'cool commentaire pouvoir voir classement meilleur buteur qualité suivre match être parfaire '
neutre, 'avoir manque possesseur avoir touche menu impossible aller classement dommage '
neutre, 'bon manquer fonctionnalité diversité fluidité interface part bon faire bon détail match bon bon suivi direct bon alerte simple pratique utilisation '
bien, 'adorer servir temps '
bien, 'commentaire attention mise avoir jour '
bien, 'magnifique avoir trouver résultat précision '
bien, 'trop mai retard but regarder tan avoir télé mai '
bien, 'servir aimer matin voir résultat match veille '
bien, 'commentaire aise être facile match être direct '
bien, 'sympathique trouver site petit bémol être avoir décalage action '
bien, 'commentaire mettre note parfaire dommage noter avoir ace classement '
bien, 'enfer être cool pouvoir avoir résultat match pouvoir regarder '
bien, 'alerte but être photo être être manquer juste regarder match '
bien, 'parfait avoir sport canal adorer foot permettre suivre '
bien, 'fan rater match dommage avoir commentaire match féminin '
bien, 'commentaire bon merci vif haine '
bien, 'bloc mise avoir jour urgent '
bien, 'chose être bon publicité minimiser avoir match qualité application merci '
bien, 'cool commentaire super permettre suivre temps réel championnat favori '
mauvais, 'aimer avoir nom buteur division inférieur bon excepter faute français avis commentaire '
bien, 'commentaire bon application match information but cote '
bien, 'commentaire être dommage composition équipe être détailler plat terrain bon '
bien, 'super étoile avoir rajouter classement buteur important '
mauvais, 'pire pire important pub chiant horaire être faire merde remettre version faire autre job gars '
bien, 'impec commentaire falloir pouvoir régler son alerte femme faire bon pouvoir choisir côte différent bookmaker '
mauvais, 'étoile demande autorisation étant inutile appel '
bien, 'super être voir résultat description être '
bien, 'cool cool super regard match travail même ya télévision '
neutre, 'réinstaller réinstaller dommage ampli être super '
bien, 'commentaire être titre seul bémol réglage notification changer '
bien, 'cool cool '
neutre, 'bonjour faire partir équipe choc sommer|être niveau clan point banque avoir devoir gagner apparaître tout gagner clan savoir rien être expliquer attendre '
bien, 'magnifique application être parfaire avoir couleur emblème pouvoir modifier classe avoir être '
bien, 'bon énorme information rechercher clan suivre|être majeur finir foi|fois jeu mode commando vétéran '
neutre, 'pouvoir faire servir avoir grand chose même juger '
bien, 'prestige ancien prestige précédent afficher monde profil petit détail bon être fonctionner '
neutre, 'hier avoir faire emblème vouloir ouvrir '
mauvais, 'nul pouvoir tester mot passe aller dire être '
bien, 'mal opérateur être bon avoir full zombie application mettre '
bien, 'bon application conseiller joueur '
bien, 'recruter être clan nom sourire '
mauvais, 'marche commentaire reconnaître compte créer nouveau connecter '
neutre, 'problème emblème historique pouvoir besoin mettre même emblème team voir historique différent correct rappel changement '
bien, 'application super niveau emblème recruter '
neutre, 'commentaire édition marche '
neutre, 'bonjour gagner clan hier être monter avoir jeton gagner merci souci '
bien, 'problème moyen sauvegarder part appartenir clan servir rien '
bien, 'recruter team recruter entretenir envoyer demande application '
bien, 'commentaire marcher changer portable merde '
bien, 'commentaire bon dommage pouvoir personnaliser personnage '
bien, 'faucon recruter joueur venir bon '
bien, 'commentaire pouvoir gérer clan distance être '
mauvais, 'super nul commentaire super éditeur emblème marquer problème enregistrer faire emblème être supprimer '
mauvais, 'gros application ensemble être bon arriver avoir avoir avoir clan clan servir avoir rien temps temps avoir compte mise avoir jour '
bien, 'chercher clan chercher clan dynamique sympa faire guerre clan suivre|être majeur préciser '
bien, 'salut team recruter '
neutre, 'être être avoir modifier jeu voir modification avoir corriger '
mauvais, 'inutile application inutile fonctionner '
bien, 'clan clan recruter bon entente '
mauvais, 'commentaire marche '
bien, 'recruter niveau contacter '
neutre, 'commentaire avoir trouver classe '
bien, 'commentaire faire monter niveau clan '
bien, 'commentaire chercher clan suivre|être prestige '
bien, 'petit problème partie emblème marcher pouvoir copie créer emblème merci prendre compte problème '
mauvais, 'impossible sauvegarder '
mauvais, 'application charger dire connexion serveur avoir être perdre '
mauvais, 'incomplet trouver application mériter contenu fonctionnalité exemple pouvoir créer classe emblème '
neutre, 'commentaire avoir pouvoir guerre voir mode devoir faire vouloir faire clan '
bien, 'excellent application fonctionner avoir valoir star '
mauvais, 'arriver connecter compte dire jouer partie avoir faire '
mauvais, 'gros note commentaire marcher super planter arrêter ouvrir '
mauvais, 'pouvoir ajouter juste modifier base effet correction œil rouge nul '
mauvais, 'commentaire fonctionner cliquer attendre reste image blanc savoir avoir '
mauvais, 'utilisation impossible suivre|être tablette avoir avoir descriptif pouvoir juste choisir photo mettre effet comprendre '
bien, 'commentaire super application être dommage pouvoir écrire '
bien, 'cool simple cool version français '
mauvais, 'avoir plante déconseiller '
bien, '
bien, 'super être super cool merci super '
mauvais, 'commentaire vidéo aller pouvoir faire plein truc pouvoir faire tablette portable pouvoir faire '
bien, 'top complet photo téléphone '
bien, 'cool avoir plaire|pleuvoir pouvoir changer photo impressionner ami '
mauvais, 'commentaire pouvoir faire photo mettre filtre être décevoir marcher fonctionner '
mauvais, 'décevoir avoir acheter version noter perdre application avoir compatible noter version express être nul voir planter foi|fois ouvrer|ouvrir photo aimer pouvoir retrouver note avoir payer|payer être avoir utilité '
bien, 'meilleur application retouche commentaire superbe application filtre option impressionnant être gratuit manquer juste possibilité marquer texte photo '
bien, 'super aimer application résultat être excellent baigner '
bien, 'commentaire aimer avoir mobile être payant énorme conseil '
bien, 'super être bon application prendre place valoir coup '
mauvais, 'application avoir être chouette avoir choix effet '
bien, 'super trop aller pouvoir faire plein truc '
bien, 'excellent commentaire avoir top '
mauvais, 'impossible ouvrir avoir application fermer essayer ouvrir dommage '
mauvais, 'inutilisable avoir être compatible note perdre pouvoir remplacer refermer sélectionner photo modifier redonner '
bien, 'commentaire vivre être passion être super nouveau version '
bien, 'intéressant essayer atteindre objectif bon chance utilisateur '
bien, 'bon application être super recommander '
bien, 'commentaire vrai manquer juste application ajout texte '
mauvais, 'nul être merde pouvoir juste mettre couleur nul '
mauvais, 'marcher commentaire ouvrer|ouvrir avoir écran blanc avoir notification application répondre conseiller '
bien, 'merci commentaire excellent application amuser production suivre|être studio sympathique '
mauvais, 'commentaire être impressionnant tablette pouvoir mettre effet '
mauvais, 'commentaire fermer sélectionner filtre photo '
bien, 'être superbe '
bien, 'commentaire '
neutre, 'efficace expérience professionnel '
mauvais, ''
bien, 'cool cool '
bien, 'super être photographe trouver génial statut '
bien, 'cool être cool pouvoir écrire être super '
bien, 'commentaire mot super cool faire avoir devenir pro fait suivre|être clash clan avoir voir modifier truc être long '
bien, 'parfait hall enregistrement être connaître avance porte embarquement être bon ajouter être définir '
bien, 'commentaire '
mauvais, 'application être impossible ouvrir carte embarquement application message erreur application être foi|fois tenter ouvrir carte embarquement avoir mise avoir jour '
mauvais, 'absence carte embarquement enregistrement pratique être pénible carte embarquement être disponible vol réserver avoir chance marcher être impossible obtenir carte falloir trainer page pratique enregistrer falloir connaître cœur numéro vol réservation faire aller venir écran application vol enregistrer être application pratique condition avoir papier crayon imprimante '
bien, 'fonctionnel bon pratique fonctionnel robuste mauvais mettre jour temps réel horaire exemple cas retard petit gros seul bémol préférence siège saisir profil voyageur site sembler être prendre compte problème système général savoir autre amélioration possible indiquer possible porte embarquement être connaître éviter traverser aérogare courant '
bien, 'bon grand chose dire esthétique fonctionnel réussite '
bien, 'efficace commentaire carte embarquement disponible ligne '
bien, 'commentaire avoir marche '
bien, 'commentaire '
bien, 'commentaire utile '
bien, 'pratique commentaire information avoir besoin être '
bien, 'agenda commentaire diable inscrire vol agenda choix '
bien, 'superbe application commentaire évolution ancien version être jour nuit mise jour régulier être appréciable continuer '
bien, 'net amélioration bon application permettre gagner temps net amélioration suite ergonomie être enregistrement '
neutre, 'impossible avoir plan cabine changer siège '
bien, 'bon application être passer tarif jeune dernier mise jour avoir souci réservation billet lundi attendre mise jour voir aller '
mauvais, 'impossible utiliser nouveau version planter mouliner minute plante avoir foi|fois utiliser impossible obtenir impossible regarder fonctionner catastrophique '
bien, 'voyage famille impassible obtenir carte embarquement voyager famille carte personne falloir numéro téléphone différent personne faire avoir enfant téléphone bref retour papier '
mauvais, 'installation application utile facile utilisation être avoir moyen installer tablette portable moyen effet installer tablette avoir solution rapide '
mauvais, 'pub commentaire vomir pub volet notification désactivation impossible supposer payer billet avion cher '
mauvais, 'inutile voyageur dommage avoir application similaire '
bien, 'commentaire pratique associer carte embarquement disponibilité '
neutre, 'commentaire bon application téléphone exister version tablette tab dommage autre exister tablette version tablette tab '
mauvais, 'notification étoiler recevoir notification publicitaire être désactiver application '
bien, 'application pratique complet '
bien, 'bon application commentaire design sympa agréable utiliser point négatif icône application être beau espérer mise jour '
bien, 'passage être génial besoin rien imprimer avoir souci arrivé|arrivée être magique '
mauvais, 'commentaire avoir '
neutre, 'incompatible tab commentaire semaine message mise jour compatible nombreux tablette souci avoir '
bien, 'commentaire être être normal mise avoir jour revenir écran mise jour dernier version application sembler acharner renvoyer mise jour pouvoir faire ennuyant '
bien, 'beau design rapide '
bien, 'commentaire '
mauvais, 'décevoir fonctionner dernier mise jour carte embarquement vol pub '
neutre, 'arriver réserver vol faire '
bien, 'parfait commentaire voyager '
neutre, 'problème enregistrer commentaire souci même rester lourd enregistrer autre vol conserver ancien vol '
neutre, 'complet nouveau version vouloir être impossible enregistrer carte fidélité falloir taper numéro billet dossier réservation pratique autre menu incomplet rubrique coordonnée|coordonnées manquer pays avoir problème devoir composer numéro français lieu numéro local numéro téléphone fonctionner numéro chiffre métropole '
bien, 'commentaire simple utiliser être parfait '
bien, 'cool rien signaler correct '
bien, 'commentaire '
bien, 'résoudre rajouter étoile pouvoir voir note aller détail film être faute '
mauvais, 'commentaire application mettre notification envoyer centaine foi|fois suivre|être obliger mettre portable mode muet bruit être insupportable application cesser fonctionner '
bien, 'utile être bon pouvoir savoir film être moment cinéma découvrir série avoir star '
mauvais, 'vouloir commentaire urgent choisir cinéma être faire défiler jour programme contredire avancer jour semaine annoncer visionner programme certain figurer cinéma proposer reculer nouveau programme paraître coup obligé aller vérifier autre site juste retour désagréable perte temps pouvoir remédier avoir problème merci '
bien, 'commentaire être '
bien, 'commentaire application avoir évoluer rester défaut goût intégration vidéo article être idéal fil devoir pouvoir permettre trier catégorie trouver intéresser continuer être cinquième étoile '
mauvais, 'commentaire compte fonctionnalité inaccessible impossible déconnecter noter partager critiquer film '
bien, 'commentaire pouvoir proposer film sortir semaine liste sortie afficher lien critique '
neutre, 'beau interface crash fréquent démarrage publicité envahissant '
mauvais, 'modérateur enlever étoile modérateur modérer borne être modérer avoir fermer compte cause retourner école rire réviser humour devoir critiquer film être bon humeur même avoir impression être foi|fois foutre gueule spectateur dire con oser être reconnaître modérateur '
mauvais, 'tablette vouloir jouer cour|cours grand être capable écouter nombreux voix demander année compatibilité mode paysage possesseur tablette faire '
bien, 'améliorer début chaotique application dernier version commencer être respectable rester mineur '
mauvais, 'être mettre avoir jour avoir article permettre mater dommage faire partir seul être être corriger avenir '
mauvais, 'minute utilisation plantage '
bien, 'super lecteur vidéo être terrible coup difficile regarder bande annoncer '
bien, 'paysage portrait regretter pouvoir avoir choix tablette pouvoir page mode portraire dommage être suivre|être fan '
bien, 'commentaire application marcher tester '
neutre, 'commentaire nouveau version priver grâce être diffuser être informer nouveauté '
neutre, 'option site pas arrière avoir être faire gros mise jour précédent rétablir avoir accès fonctionnalité site '
bien, 'utile servir tenir informer sorti ciné connaître séance proche '
bien, 'génial demander être nom art meilleur genre penser '
bien, 'commentaire fantastique préférer '
bien, 'bon juste lecture vidéo genre arriver lire vidéo intégrer article étoile '
bien, 'être avoir compatibilité regarder émission style faux raccord '
bien, 'bon avoir trouver information chercher site complet '
bien, 'mal '
bien, 'commentaire application être complet juste dommage avis commentaire film série être censurer modérateur '
bien, 'être proche perfection être corriger remettre neuf bon nouveau être temps '
bien, 'conseiller super bande annonce être inscrire être être mettre super '
bien, 'commentaire être résoudre '
neutre, 'pub pub ouvrer|ouvrir temps être insupportable avoir beau fermer rouvrir sec '
bien, 'bon voir film favori aller sortir conseiller '
bien, 'nouveau social commentaire potentiel être monstrueux '
bien, 'top énerver commentaire servir jour noter film regarder être nombreux modération commentaire être énervant injustifié '
mauvais, 'désordonné confus manquant vidéo vidéo lancer plein écran ancien vidéo avoir disparaître '
bien, 'super super rencontrer être agréable petit souci foi|fois salle aller film être répertorier génial riche '
neutre, 'commentaire planter fermer avoir savoir falloir '
bien, 'mode paysage navigation pas mode portraire mode vidéo rendre transition désagréable '
bien, 'tout vidéo dossier passer application être penser '
mauvais, 'point commentaire fonctionner être catastrophe utiliser être incapable conserver salle préféré planter faire durer '
bien, 'dernier mise jour mise jour octobre fonctionner mini réussir installer version avant aller '
neutre, ''
bien, 'commentaire super souci avoir signaler '
neutre, 'synchronisation arriver synchroniser dernier page lire connexion réseau vouloir poursuivre lecture avoir commencer tablette phone avoir chapitre retard rester bloquer dernier page lire phone suivre|être obliger avancer avoir lire phone reprendre tablette avoir fenêtre dire être emplacement page avancer être vouloir avancer proposition apparaître phone avoir soumettre problème service client trouver solution '
mauvais, 'décevoir marcher tab reconnaître '
mauvais, 'liseur|liseuse bon liseur|liseuse consommer batterie impossible arrêter lancer démarrage appareil consommer mini batterie utilisation normal utiliser '
mauvais, 'devoir revoir copie voir être impossible connecter ouvrir menu fonctionner coup avoir donner note bas avoir corriger sérieux problème '
bien, 'commentaire nickel truc être sympa être fonction rechercher trouver suite titre livre chercher longue liste livre avoir acheter être top '
bien, 'génial application être génial permettre avoir bon partie bibliothèque pouvoir lire document autre rester mémoire '
bien, 'bon fonctionner problème '
bien, 'adorer parfait lire problème synchronisation '
bien, 'excellent liseur|liseuse beau ergonomie remarquable faire application haver '
bien, 'avoir in page avoir clore avoir '
bien, 'facile utiliser portable tablette être facile remettre avoir lire '
mauvais, 'nul décevant produit arriver synchroniser progression lecture proposer page lire élever être nul voir relire livre inutile pénible '
bien, 'excellent manquer avis traducteur intégré '
bien, 'avoir charge marche '
mauvais, 'haver to '
bien, 'commentaire bien acheter '
mauvais, 'commentaire fonctionner incroyable '
bien, 'client excellent utiliser note '
mauvais, 'nul commentaire nul livre être anglais '
bien, 'utile commentaire bon application anglais traducteur présent version tablette faire défaut '
bien, 'cool merci créateur '
bien, 'bon commentaire super marche avoir merveille '
mauvais, 'commentaire impossible faire fonctionner '
mauvais, 'commentaire être nul '
mauvais, 'commentaire crash systématique ouverture '
bien, 'commentaire excellent '
neutre, 'lecture contre recherche côté boutiquer énerver manquer choix langue '
mauvais, 'impossible ouvrir livre taper sembler essayer|essayer charger passer '
mauvais, 'problème rotation écran rester figer position aléatoire impossible changer '
bien, 'commentaire navigation boutique améliorer '
bien, 'commentaire adorer plein livre cool rapide super avoir installer hésitation '
mauvais, 'blague commentaire être délirer pouvoir changer luminosité portable ouvrer|ouvrir livre défoncer œil luminosité foutre '
bien, 'commentaire bon application pratiquer islam '
mauvais, 'tourner vide revoir code tourner vide revoir code '
neutre, 'être présent proposer choisir application planter '
mauvais, 'allemand inutilisable mettre adresse mail prétexte être domicilier être proposer allemand moyen choisir français maîtriser '
bien, 'super félicitation '
mauvais, 'commentaire ya p\'tit bouge '
bien, 'aimer particule venir être enlever '
bien, 'nul super super conseiller '
neutre, 'aller être cool être varier avoir fond écran animer être '
neutre, 'bien pouvoir '
bien, 'magnifique beau pouvoir bouger changer couleur '
neutre, 'beau couleur avoir être avoir choix '
neutre, 'ace dommage avoir '
bien, 'gens mettre avis avoir tester '
mauvais, 'commentaire nul rien être animer petit lumière moche plan '
neutre, 'avoir recevoir demande compte site an '
neutre, 'content commentaire dire avoir fond|fonds écran avoir avoir retoucher image avoir image vouloir fumée rester beau '
bien, 'commentaire changer fond être simple falloir aller paramètre fond '
bien, 'super cool plein fond écran fumé être joli avoir effet parallaxe '
mauvais, 'commentaire être démoder créer être nul '
bien, 'parfait beau boire '
bien, 'trop fond conseil '
mauvais, 'joli joli fond|fonds publicité gâcher fonction paramètre dommage donner envie utiliser garder publicité gâcher application '
bien, 'class commentaire aimer thème joli image bon résolution effet parallaxe énorme être dommage avoir horloge part être nickel '
bien, 'commentaire chic avoir penser avoir petit sœur '
bien, 'animer application '
